ALF,AS,LRII,LRIC,Rho,CT,C,CRPa,CRPe,DLI,DLC,TRI,Failure
0.105519713,3,0.054361254,0.1631,0.0162,2,DC,0.14,0.14,1.320855615,1.320855615,0.275877522,Flexure
0.184408727,1.25,0.083639008,0.2509,0.0313,2,DC,0.055555556,0.055555556,1.317647059,1.317647059,0.068039853,Shear
0.445192667,1.25,0.08059759,0.2418,0.0313,2,DC,0.055555556,0.055555556,1.317647059,1.317647059,0.065565677,Shear
0.399941657,2.5,0.059090375,0.1182,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.24774872,Flexure
0.399941657,2.5,0.059090375,0.1182,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.597720191,Flexure
0.628938156,2.5,0.059090375,0.1182,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.24774872,Flexure
0.628938156,2.5,0.059090375,0.1182,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.597720191,Flexure
0.25388601,2.5,0.04373096,0.0875,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.183351168,Flexure
0.25388601,2.5,0.04373096,0.0875,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.442354235,Flexure
0.422927461,2.5,0.04373096,0.0875,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.183351168,Flexure
0.422927461,2.5,0.04373096,0.0875,0.038,4,DE,0.045,0.045,1.576576577,1.576576577,0.442354235,Flexure
0.256782946,1.5,0.09922003,0.1984,0.0213,4,DC,0.095,0.095,1.476454294,1.476454294,0.533763645,Flexure-shear
0.61627907,1.5,0.09922003,0.1984,0.0213,4,DC,0.095,0.095,1.476454294,1.476454294,0.533763645,Flexure-shear
0.349909548,2,0.030893577,0.0618,0.0243,4,DC,0.094,0.094,1.506596306,1.506596306,0.16298636,Flexure
0.349909548,2,0.030893577,0.0618,0.0243,4,DC,0.094,0.094,1.506596306,1.506596306,0.244479541,Flexure
0.349909548,2,0.030893577,0.0618,0.0243,4,DC,0.094,0.094,1.506596306,1.506596306,0.087650443,Flexure
0.349909548,2,0.030893577,0.0618,0.0243,4,DC,0.094,0.094,1.506596306,1.506596306,0.237109356,Flexure
0.349909548,2,0.030893577,0.0618,0.0243,2,DC,0.094,0.094,1.506596306,1.506596306,0.16298636,Flexure
0.349909548,2,0.030893577,0.0618,0.0243,2,DC,0.094,0.094,1.506596306,1.506596306,0.176854941,Flexure
0.349909548,2,0,0.0618,0.0181,2,DC,0.122,0.122,1.510324484,1.510324484,0.16298636,Flexure
0.735555254,1.161870504,0.098190758,0.2946,0.0412,4,DC,0.100719424,0.100719424,1.689342404,1.689342404,0.279935736,Flexure-shear
0.117486753,2.872131148,0,0.3498,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.128492579,Flexure-shear
0.117486753,2.872131148,0,0.3498,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.128492579,Flexure-shear
0.147107924,2.872131148,0,0.4651,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.243770264,Flexure-shear
0.147107924,2.872131148,0,0.4651,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.243770264,Flexure-shear
0.114271334,2.872131148,0,0.3613,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.132699182,Flexure-shear
0.114271334,2.872131148,0,0.3613,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.132699182,Flexure-shear
0.07125909,2.872131148,0,0.3613,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.132699182,Shear
0.07125909,2.872131148,0,0.3613,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.132699182,Flexure-shear
0.114955594,2.872131148,0,0.3634,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.264901734,Flexure-shear
0.114955594,2.872131148,0,0.3634,0.0245,2,DE,0.114754098,0.073114754,1.683467742,1.683467742,0.264901734,Flexure-shear
0.114612443,2.872131148,0,0.3623,0.0245,2,DE,0.104918033,0.062622951,1.683467742,1.683467742,0.551814033,Flexure-shear
